label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
band_z · Equal (⅓ each) · P95 per-band,5.0,5.0,5.001,0.6637,0.8413,0.7716,0.328,0.2697,0.8654,2.691,3.482,1.828
band_z · Equal (⅓ each) · P97 global,3.0,3.368,0.0,0.4161,0.6759,0.7761,0.337,0.2899,0.8783,2.635,3.645,1.817
band_z · Equal (⅓ each) · P97 per-band,3.0,3.0,3.0,0.4102,0.6568,0.7903,0.3366,0.3027,0.8888,2.724,3.845,1.847
band_z · Equal (⅓ each) · P90 score + progress≥P60,9.368,9.736,6.369,0.6532,0.8614,0.7107,0.3129,0.2136,0.8451,2.297,2.7,1.894
band_z · xP-heavy (50/35/15) · P90 global,10.0,10.701,4.282,0.6894,0.9078,0.705,0.3108,0.2098,0.7609,2.349,2.693,1.598
band_z · xP-heavy (50/35/15) · P90 per-band,10.0,10.0,10.001,0.7037,0.9205,0.7231,0.3088,0.2165,0.7777,2.508,2.87,1.654
band_z · xP-heavy (50/35/15) · P92 global,7.5,8.261,1.294,0.7619,0.9094,0.7314,0.3193,0.228,0.7915,2.51,2.881,1.647
band_z · xP-heavy (50/35/15) · P92 per-band,7.5,7.5,7.502,0.7952,0.9042,0.753,0.3175,0.2388,0.817,2.697,3.117,1.731
band_z · xP-heavy (50/35/15) · P95 global,5.0,5.613,0.003,0.6743,0.8394,0.7588,0.3287,0.2539,0.8329,2.636,3.196,1.728
band_z · xP-heavy (50/35/15) · P95 per-band,5.0,5.0,5.001,0.6716,0.8342,0.7768,0.3277,0.2688,0.8504,2.763,3.453,1.782
band_z · xP-heavy (50/35/15) · P97 global,3.0,3.368,0.0,0.416,0.7015,0.7803,0.3369,0.2889,0.8663,2.677,3.617,1.781
band_z · xP-heavy (50/35/15) · P97 per-band,3.0,3.0,3.0,0.4104,0.6716,0.7947,0.3364,0.3018,0.8768,2.77,3.812,1.812
band_z · xP-heavy (50/35/15) · P90 score + progress≥P60,9.032,9.615,4.282,0.6592,0.8665,0.7165,0.3138,0.2115,0.8322,2.399,2.606,1.843
band_z · Residual-heavy (30/50/20) · P90 global,10.0,10.545,5.556,0.7069,0.8972,0.69,0.3124,0.2185,0.7544,2.108,2.955,1.569
band_z · Residual-heavy (30/50/20) · P90 per-band,10.0,10.0,10.001,0.7141,0.908,0.7043,0.3108,0.2233,0.7679,2.226,3.097,1.614
band_z · Residual-heavy (30/50/20) · P92 global,7.5,8.124,2.416,0.7834,0.9096,0.7157,0.3206,0.2377,0.7878,2.254,3.129,1.628
band_z · Residual-heavy (30/50/20) · P92 per-band,7.5,7.5,7.502,0.8063,0.9087,0.7338,0.3191,0.2456,0.805,2.405,3.331,1.685
band_z · Residual-heavy (30/50/20) · P95 global,5.0,5.558,0.451,0.65,0.8315,0.7406,0.3296,0.2629,0.8223,2.384,3.409,1.688
band_z · Residual-heavy (30/50/20) · P95 per-band,5.0,5.0,5.001,0.638,0.8129,0.7587,0.3287,0.2751,0.8371,2.523,3.653,1.734
band_z · Residual-heavy (30/50/20) · P97 global,3.0,3.368,0.003,0.4104,0.6748,0.7647,0.3374,0.2942,0.855,2.517,3.774,1.745
band_z · Residual-heavy (30/50/20) · P97 per-band,3.0,3.0,3.0,0.4031,0.6639,0.7796,0.3369,0.3073,0.8653,2.622,3.981,1.775
band_z · Residual-heavy (30/50/20) · P90 score + progress≥P60,8.973,9.392,5.556,0.6782,0.8555,0.7026,0.3155,0.2209,0.8342,2.153,2.859,1.849
band_z · Progress-heavy (35/35/30) · P90 global,10.0,10.486,6.033,0.6978,0.9091,0.7034,0.311,0.2139,0.7906,2.277,2.797,1.699
band_z · Progress-heavy (35/35/30) · P90 per-band,10.0,10.0,10.001,0.6974,0.8989,0.7161,0.3095,0.2179,0.8005,2.385,2.915,1.734
band_z · Progress-heavy (35/35/30) · P92 global,7.5,8.129,2.374,0.7638,0.8894,0.7281,0.3196,0.2328,0.8141,2.422,2.975,1.722
band_z · Progress-heavy (35/35/30) · P92 per-band,7.5,7.5,7.502,0.7806,0.8874,0.7468,0.318,0.2404,0.8318,2.585,3.16,1.781
band_z · Progress-heavy (35/35/30) · P95 global,5.0,5.582,0.258,0.6745,0.8453,0.7539,0.3289,0.2568,0.8483,2.562,3.244,1.775
band_z · Progress-heavy (35/35/30) · P95 per-band,5.0,5.0,5.001,0.6646,0.8415,0.7715,0.328,0.2702,0.8605,2.691,3.497,1.813
